item_id,name,category,price
I00079,Sua Hat Oc Cho - SKU9742,Beverage,33585
I00080,Deep Learning - SKU7689,Books,410655
I00081,Noi Com Dien Toshiba - SKU8993,Kitchen,7876835
I00082,Gang Tay Xe May - SKU5997,Motorbike Accessories,1067702
I00083,Sua Rua Mat Cetaphil - SKU9350,Beauty,1404892
I00084,Thuc An Cho Meo Whiskas - SKU3980,Pet Supplies,2128661
I00085,iPad Pro M4 - SKU9487,Phones & Tablets,33688881
I00086,May Huy Tai Lieu - SKU9091,Office,9846082
I00087,Binh Nuoc Du Lich - SKU9475,Outdoor,8805490
I00088,MacBook Pro M4 - SKU9438,Electronics,64021778
I00089,Son MAC Ruby Woo - SKU1224,Beauty,1213281
I00090,Kem Chong Nang Anessa - SKU4670,Beauty,2731282
I00091,Noi Chien Khong Dau Philips - SKU1406,Kitchen,4042883
I00092,Thuc An Cho Meo Whiskas - SKU3376,Pet Supplies,376783
I00093,Ta Pampers - SKU6995,Baby,4075710
I00094,But Bi Thien Long - SKU9564,Office,5921305
I00095,Xe Dap Giant Escape - SKU8177,Sports,3966672
I00096,Omega 3 Kirkland - SKU3804,Health,1716454
I00097,Nuoc Hoa Dior Sauvage - SKU6944,Beauty,781305
I00098,Xiaomi 15 Pro - SKU2678,Phones & Tablets,14243766
I00099,May Xay Sinh To Panasonic - SKU2890,Kitchen,1568329
I00100,Tu Lanh Samsung - SKU3327,Home Appliances,21945017
I00101,May In HP LaserJet - SKU1602,Office,9089949
I00102,Xe Dieu Khien Tu Xa - SKU5348,Toys,2952498
I00103,Dac Nhan Tam - SKU7631,Books,82261
I00104,Nuoc Hoa Dior Sauvage - SKU7602,Beauty,980223
I00105,May Do Huyet Ap Omron - SKU9907,Health,1979027
I00106,Quan Jean Levi's 511 - SKU8462,Fashion Men,2080317
I00107,Lac Tay Vang 18K - SKU6235,Jewelry,1556594
I00108,Ao Mua Cao Cap - SKU9249,Motorbike Accessories,4937072
I00109,Nike Air Max 270 - SKU7658,Shoes,4961277
I00110,Gia Do Dien Thoai O To - SKU2900,Automotive,8422718
I00111,Puma RS-X - SKU2510,Shoes,2131615
I00112,Sua Hat Oc Cho - SKU4925,Beverage,243312
I00113,Xe Day Cho Be - SKU6003,Baby,1709351
I00114,Hat Dieu Rang Muoi - SKU6820,Food,306256
I00115,Binh Nuoc Du Lich - SKU3510,Outdoor,665526
I00116,Ao Polo Uniqlo - SKU9782,Fashion Men,2133111
I00117,Sua Rua Mat Cetaphil - SKU4490,Beauty,227579
I00118,Nuoc Hoa Dior Sauvage - SKU3357,Beauty,1111820
I00119,Ghe Cong Thai Hoc - SKU7092,Furniture,15246437
I00120,Balo Du Lich NatureHike - SKU9615,Travel,2548977
I00121,Chuot Logitech MX Master 3S - SKU7191,Computer Accessories,8029329
I00122,Deep Learning - SKU6639,Books,184961
I00123,May Hut Bui Dyson - SKU8491,Home Appliances,12567011
I00124,Nuoc Ep Cam - SKU2890,Beverage,67124
I00125,Ao Thun Cotton Basic - SKU7837,Fashion Men,731114
I00126,Rubik 3x3 - SKU8668,Toys,2891321
I00127,Son MAC Ruby Woo - SKU6430,Beauty,1877130
I00128,SSD Samsung 990 Pro - SKU1369,Computer Accessories,6214053
I00129,Lego City - SKU6584,Toys,3885733
I00130,Mu Bao Hiem Fullface - SKU2868,Motorbike Accessories,3420073
I00131,Gang Tay Xe May - SKU3714,Motorbike Accessories,4922308
I00132,Camera Hanh Trinh VietMap - SKU4324,Automotive,3231113
I00133,Tham Yoga Adidas - SKU6411,Sports,6462562
I00134,Puma RS-X - SKU4280,Shoes,3603395
I00135,Tui Xach Zara - SKU6736,Fashion Women,3384769
I00136,Quan Jean Levi's 511 - SKU8204,Fashion Men,1915038
I00137,May Hut Bui Dyson - SKU5874,Home Appliances,7289945
I00138,Ao So Mi Nam Aristino - SKU5517,Fashion Men,1048352
I00139,May Hut Bui Dyson - SKU8817,Home Appliances,37988771
I00140,Dam Cong So - SKU2929,Fashion Women,568254
I00141,Vot Cau Long Yonex - SKU7274,Sports,27066103
I00142,May Huy Tai Lieu - SKU2291,Office,6305045
I00143,Vitamin C Blackmores - SKU1797,Health,4293807
I00144,Tham Yoga Adidas - SKU7741,Sports,20092746
I00145,Ban phim Logitech MX Keys - SKU5680,Computer Accessories,6822534
I00146,Ban phim co Razer BlackWidow - SKU7464,Computer Accessories,1660671
I00147,Kem Chong Nang Anessa - SKU4817,Beauty,2349138
I00148,Xe Dieu Khien Tu Xa - SKU9581,Toys,2898314
I00149,Tay Cam PS5 - SKU6588,Gaming,8388897
I00150,Tui Xach Du Lich - SKU6475,Travel,7255657
I00151,Ao So Mi Nu - SKU8725,Fashion Women,1613385
I00152,Giay Da Nam - SKU3181,Shoes,3917488
I00153,Thuc An Cho Meo Whiskas - SKU6558,Pet Supplies,368556
I00154,So Tay Moleskine - SKU6124,Office,3338742
I00155,Ban phim Logitech MX Keys - SKU6953,Computer Accessories,4459417
I00156,Xe Dap Giant Escape - SKU7351,Sports,7017222
I00157,Tu Lanh Samsung - SKU9989,Home Appliances,14644888
I00158,Ta Pampers - SKU7552,Baby,204790
I00159,Mu Bao Hiem Fullface - SKU8760,Motorbike Accessories,4778760
I00160,Leu Cam Trai 4 Nguoi - SKU2340,Outdoor,9465312
I00161,But Bi Thien Long - SKU7791,Office,4299871
I00162,Ao So Mi Nam Aristino - SKU8281,Fashion Men,1893532
I00163,Puma RS-X - SKU3674,Shoes,4871718
I00164,Ca Phe Arabica - SKU5556,Food,172677
I00165,Camera Canon EOS R50 - SKU3512,Electronics,55362887
I00166,Son MAC Ruby Woo - SKU9041,Beauty,884510
I00167,Mat Na Innisfree - SKU4711,Beauty,2678351
I00168,But Bi Thien Long - SKU4839,Office,6096051
I00169,Xe Dieu Khien Tu Xa - SKU4475,Toys,2225536
I00170,Am Sieu Toc Sunhouse - SKU2880,Kitchen,3597962
I00171,iPad Pro M4 - SKU9118,Phones & Tablets,11289799
I00172,Quan Jean Levi's 511 - SKU7609,Fashion Men,694443
I00173,Sua Hat Oc Cho - SKU3018,Beverage,217213
I00174,Sua Bot Aptamil - SKU8326,Baby,4716651
I00175,RAM Kingston Fury 16GB - SKU1204,Computer Accessories,2850645
I00176,May Hut Bui Dyson - SKU2111,Home Appliances,27725608
I00177,Rubik 3x3 - SKU7693,Toys,660632
I00178,Xiaomi 15 Pro - SKU7747,Phones & Tablets,22003892
I00179,Tai Nghe Gaming HyperX - SKU7089,Gaming,6406478
I00180,Den Pin Sieu Sang - SKU2167,Outdoor,7849304
I00181,Bom Lop O To Michelin - SKU4959,Automotive,9040116
I00182,Xe Day Cho Be - SKU6977,Baby,6191875
I00183,Thuc An Cho Cho Pedigree - SKU4434,Pet Supplies,904506
I00184,Ao Mua Cao Cap - SKU3324,Motorbike Accessories,4751042
I00185,Tra Xanh Lipton - SKU4604,Beverage,281502
I00186,Nha Gia Kim - SKU8436,Books,443473
I00187,Socola Den - SKU7433,Food,217206
I00188,Ghe Cong Thai Hoc - SKU4718,Furniture,21347323
I00189,Ta Pampers - SKU4070,Baby,762357
I00190,Xe Day Cho Be - SKU5008,Baby,5294367
I00191,Ta Pampers - SKU2768,Baby,8375426
I00192,Dam Cong So - SKU8973,Fashion Women,745475
I00193,Mu Bao Hiem Fullface - SKU4134,Motorbike Accessories,4065146
I00194,Nhan Bac 925 - SKU1428,Jewelry,97409968
I00195,Lego City - SKU5602,Toys,521778
I00196,Tai Nghe Gaming HyperX - SKU5350,Gaming,6427691
I00197,Can Dien Tu Xiaomi - SKU2956,Health,332654
I00198,Gang Tay Xe May - SKU3902,Motorbike Accessories,1008922
I00199,Ta Pampers - SKU1197,Baby,277951
I00200,Noi Com Dien Toshiba - SKU2845,Kitchen,2129937
I00201,Son MAC Ruby Woo - SKU7436,Beauty,396359
I00202,Thuc An Cho Cho Pedigree - SKU4368,Pet Supplies,2010117
I00203,Binh Nuoc Du Lich - SKU4867,Outdoor,1243179
I00204,Mu Bao Hiem Fullface - SKU5518,Motorbike Accessories,3093932
I00205,Ke Sach 5 Tang - SKU7253,Furniture,11919823
I00206,Ngu Coc Dinh Duong - SKU3912,Food,185226
I00207,Ta Pampers - SKU9794,Baby,2620680
I00208,New Balance 530 - SKU9307,Shoes,1800147
I00209,Tai Nghe Gaming HyperX - SKU7066,Gaming,8878883
I00210,Xiaomi 15 Pro - SKU2069,Phones & Tablets,22045336
I00211,Ban phim Logitech MX Keys - SKU1865,Computer Accessories,5903367
I00212,Day Chuyen Bac - SKU8804,Jewelry,64274190
I00213,Camera Canon EOS R50 - SKU7155,Electronics,11114060
I00214,Ao Khoac Bomber - SKU8857,Fashion Men,1249187
I00215,May Hut Bui Dyson - SKU4841,Home Appliances,6092536
I00216,Tui Xach Zara - SKU2763,Fashion Women,2799854
I00217,MacBook Air M3 - SKU3469,Electronics,26735695
I00218,Ban Lam Viec Go - SKU7261,Furniture,9611236
I00219,SSD Samsung 990 Pro - SKU8604,Computer Accessories,6899288
I00220,Ao Mua Cao Cap - SKU1886,Motorbike Accessories,1345713
I00221,Gia Do Dien Thoai O To - SKU4997,Automotive,2868711
I00222,Nhan Bac 925 - SKU4190,Jewelry,706159
I00223,Ta Pampers - SKU2240,Baby,244733
I00224,May Giat LG Inverter - SKU4809,Home Appliances,43565006
I00225,Camera Hanh Trinh VietMap - SKU6494,Automotive,7654780
I00226,Ao Mua Cao Cap - SKU9801,Motorbike Accessories,4341787
I00227,Ban Lam Viec Go - SKU6808,Furniture,1517632
I00228,But Bi Thien Long - SKU1984,Office,5935479
I00229,Hat Dieu Rang Muoi - SKU9559,Food,288418
I00230,Ao Polo Uniqlo - SKU8963,Fashion Men,1849237
I00231,Den Pin Sieu Sang - SKU7159,Outdoor,1410602
I00232,Socola Den - SKU6072,Food,176860
I00233,Camera Canon EOS R50 - SKU1134,Electronics,58399689
I00234,Balo Du Lich NatureHike - SKU2084,Travel,8650645
I00235,Noi Com Dien Toshiba - SKU2670,Kitchen,3997909
I00236,May Hut Bui Dyson - SKU3067,Home Appliances,34611289
I00237,Loa JBL Charge 6 - SKU8670,Electronics,11926958
I00238,Ban Phim Gaming Corsair - SKU2396,Gaming,993490
I00239,Atomic Habits - SKU3734,Books,207729
I00240,Binh Nuoc Du Lich - SKU3813,Outdoor,3984487
I00241,Can Dien Tu Xiaomi - SKU7394,Health,3907593
I00242,Lac Tay Vang 18K - SKU7240,Jewelry,40281643
I00243,Chan Vay Midi - SKU3003,Fashion Women,899709
I00244,Chuot Logitech MX Master 3S - SKU3042,Computer Accessories,322571
I00245,Am Sieu Toc Sunhouse - SKU9286,Kitchen,9795045
I00246,Mu Bao Hiem Fullface - SKU6709,Motorbike Accessories,4720077
I00247,Nuoc Ep Cam - SKU8554,Beverage,38882
I00248,Nuoc Hoa Dior Sauvage - SKU8107,Beauty,1087239
I00249,Clean Code - SKU7343,Books,343098
I00250,Nike Air Max 270 - SKU8641,Shoes,1708883
I00251,Ta Pampers - SKU1986,Baby,6216910
I00252,Ao Mua Cao Cap - SKU9666,Motorbike Accessories,2068383
I00253,Vitamin C Blackmores - SKU4362,Health,755790
I00254,Mu Bao Hiem Fullface - SKU8152,Motorbike Accessories,3942824
I00255,Nuoc Ep Cam - SKU5816,Beverage,255241
I00256,May Huy Tai Lieu - SKU8237,Office,5660931
I00257,Ngu Coc Dinh Duong - SKU2948,Food,324092
I00258,Hat Dieu Rang Muoi - SKU5007,Food,476946
I00259,Son MAC Ruby Woo - SKU7838,Beauty,1165254
I00260,Ban Phim Gaming Corsair - SKU6702,Gaming,3539623
I00261,Ao Thun Cotton Basic - SKU9250,Fashion Men,2244090
I00262,May Xay Sinh To Panasonic - SKU2991,Kitchen,8918935
I00263,RAM Kingston Fury 16GB - SKU1429,Computer Accessories,3526320
I00264,Samsung Galaxy S25 Ultra - SKU4391,Phones & Tablets,22735083
I00265,Quan Jean Levi's 511 - SKU7722,Fashion Men,228576
I00266,May Chay Bo Kingsport - SKU5253,Sports,45066274
I00267,Ao Khoac Bomber - SKU1170,Fashion Men,1239495
I00268,Ao Khoac Bomber - SKU3048,Fashion Men,2338690
I00269,Xe Dieu Khien Tu Xa - SKU6372,Toys,2884345
I00270,Webcam Logitech C920 - SKU2159,Computer Accessories,6906668
I00271,Chuot Logitech MX Master 3S - SKU4000,Computer Accessories,3465957
I00272,Nhan Bac 925 - SKU5552,Jewelry,89654203
I00273,Nuoc Hoa Dior Sauvage - SKU6461,Beauty,669914
I00274,New Balance 530 - SKU9682,Shoes,1664744
I00275,Mat Na Innisfree - SKU9660,Beauty,2065479
I00276,Vot Cau Long Yonex - SKU7874,Sports,46609571
I00277,Giay Da Nam - SKU7351,Shoes,377908
I00278,Tui Xach Zara - SKU9223,Fashion Women,2998552
I00279,Deep Learning - SKU4568,Books,219316
I00280,Noi Chien Khong Dau Philips - SKU4698,Kitchen,5050520
I00281,Clean Code - SKU1924,Books,426680
I00282,Atomic Habits - SKU5776,Books,235925
I00283,Sua Rua Mat Cetaphil - SKU9314,Beauty,773981
I00284,Son MAC Ruby Woo - SKU1031,Beauty,1598277
I00285,Mu Bao Hiem Fullface - SKU8599,Motorbike Accessories,3781678
I00286,Ao Thun Cotton Basic - SKU7940,Fashion Men,2382995
I00287,Sua Bot Aptamil - SKU3290,Baby,2447279
I00288,Xe Day Cho Be - SKU2849,Baby,5032459
I00289,Vitamin C Blackmores - SKU4607,Health,1397484
I00290,But Bi Thien Long - SKU3257,Office,513549
I00291,Gia Do Dien Thoai O To - SKU8001,Automotive,5868986
I00292,Clean Code - SKU4928,Books,303015
I00293,Hat Dieu Rang Muoi - SKU1203,Food,358072
I00294,LG OLED TV - SKU7460,Electronics,53791121
I00295,Sua Hat Oc Cho - SKU1695,Beverage,154309
I00296,Socola Den - SKU5321,Food,37944
I00297,Mu Bao Hiem Fullface - SKU6572,Motorbike Accessories,4473630
I00298,Dam Cong So - SKU9969,Fashion Women,1280285
I00299,Ghe Cong Thai Hoc - SKU6233,Furniture,9122620
I00300,May Do Huyet Ap Omron - SKU3711,Health,3121125
I00301,Ao Khoac Bomber - SKU8947,Fashion Men,1945237
I00302,Ngu Coc Dinh Duong - SKU3342,Food,317535
I00303,Thuc An Cho Cho Pedigree - SKU5647,Pet Supplies,2812306
I00304,Son MAC Ruby Woo - SKU4539,Beauty,2075781
I00305,Thuc An Cho Meo Whiskas - SKU7987,Pet Supplies,1958583
I00306,Thuc An Cho Cho Pedigree - SKU9995,Pet Supplies,593031
I00307,Tay Cam PS5 - SKU1050,Gaming,1846374
I00308,Bom Lop O To Michelin - SKU3030,Automotive,1612146
I00309,Giay Da Nam - SKU5348,Shoes,1531113
I00310,Day Chuyen Bac - SKU1022,Jewelry,21449237
I00311,Lego City - SKU8542,Toys,1847914
I00312,Webcam Logitech C920 - SKU8453,Computer Accessories,6767288
I00313,SSD Samsung 990 Pro - SKU1054,Computer Accessories,6490436
I00314,Omega 3 Kirkland - SKU7758,Health,4780708
I00315,Camera Canon EOS R50 - SKU7670,Electronics,24368993
I00316,Ao Len Cardigan - SKU6730,Fashion Women,1859634
I00317,Tham Yoga Adidas - SKU5844,Sports,46004903
I00318,But Bi Thien Long - SKU7166,Office,939687
I00319,Loa JBL Charge 6 - SKU7585,Electronics,19889722
I00320,Omega 3 Kirkland - SKU1284,Health,120802
I00321,Socola Den - SKU9672,Food,400593
I00322,Ao Thun Cotton Basic - SKU5580,Fashion Men,463770
I00323,Sua Bot Aptamil - SKU5883,Baby,6409185
I00324,Ca Phe Arabica - SKU8479,Food,159589
I00325,Day Chuyen Bac - SKU8448,Jewelry,26406272
I00326,Samsung Galaxy S25 Ultra - SKU2536,Phones & Tablets,25590175
I00327,Xe Dap Giant Escape - SKU2874,Sports,1571160
I00328,Tui Xach Zara - SKU5091,Fashion Women,278844
I00329,Xe Day Cho Be - SKU7842,Baby,9424989
I00330,Tui Xach Zara - SKU2942,Fashion Women,4468133
I00331,Clean Code - SKU5283,Books,392198
I00332,Camera Hanh Trinh VietMap - SKU2032,Automotive,2894550
I00333,Day Chuyen Bac - SKU1022,Jewelry,78811919
I00334,Tu Lanh Samsung - SKU8763,Home Appliances,8179573
I00335,Tui Xach Du Lich - SKU7324,Travel,7488966
I00336,SSD Samsung 990 Pro - SKU3143,Computer Accessories,4104450
I00337,Router TP-Link AX3000 - SKU7693,Computer Accessories,610168
I00338,iPad Pro M4 - SKU2549,Phones & Tablets,46321551
I00339,Quan Jean Levi's 511 - SKU2515,Fashion Men,558248
I00340,Nuoc Ep Cam - SKU1792,Beverage,118103
I00341,RAM Kingston Fury 16GB - SKU5582,Computer Accessories,2931074
I00342,Bom Lop O To Michelin - SKU3433,Automotive,4128914
I00343,Ban phim co Razer BlackWidow - SKU9291,Computer Accessories,2687352
I00344,Noi Chien Khong Dau Philips - SKU6296,Kitchen,2320273
I00345,Dac Nhan Tam - SKU8936,Books,271219
I00346,Lego City - SKU6500,Toys,1776209
I00347,Tu Lanh Samsung - SKU6619,Home Appliances,45122528
I00348,Tui Xach Zara - SKU3587,Fashion Women,390407
I00349,Ke Sach 5 Tang - SKU5304,Furniture,2831465
I00350,Adidas Ultraboost 5 - SKU3979,Shoes,592253
I00351,Dam Cong So - SKU4244,Fashion Women,1920502
I00352,Tay Cam PS5 - SKU4460,Gaming,1602104
I00353,Ca Phe Arabica - SKU5911,Food,231272
I00354,So Tay Moleskine - SKU3250,Office,5732221
I00355,Binh Nuoc Du Lich - SKU4731,Outdoor,8447689
I00356,Vot Cau Long Yonex - SKU4388,Sports,30663404
I00357,RAM Kingston Fury 16GB - SKU7716,Computer Accessories,1439495
I00358,Laptop Dell XPS 15 - SKU8439,Electronics,34995718
I00359,Xe Day Cho Be - SKU5522,Baby,6939420
I00360,Ban Phim Gaming Corsair - SKU1467,Gaming,8509813
I00361,Tu Quan Ao 3 Canh - SKU5200,Furniture,21020121
I00362,Dam Cong So - SKU4356,Fashion Women,3781725
I00363,Lac Tay Vang 18K - SKU4064,Jewelry,46030369
I00364,Lac Tay Vang 18K - SKU3512,Jewelry,45805787
I00365,May Chay Bo Kingsport - SKU4399,Sports,19892220
I00366,Xe Day Cho Be - SKU1067,Baby,7426132
I00367,Tui Xach Du Lich - SKU4867,Travel,3302113
I00368,Webcam Logitech C920 - SKU8601,Computer Accessories,5125849
I00369,Sua Bot Aptamil - SKU4898,Baby,1185232
I00370,Thuc An Cho Cho Pedigree - SKU4903,Pet Supplies,2500606
I00371,Tu Lanh Samsung - SKU3059,Home Appliances,44124109
I00372,Lego City - SKU8688,Toys,2347506
I00373,Leu Cam Trai 4 Nguoi - SKU9406,Outdoor,8910788
I00374,Bom Lop O To Michelin - SKU5936,Automotive,1827164
I00375,Den Pin Sieu Sang - SKU3245,Outdoor,4861085
I00376,Lac Tay Vang 18K - SKU3917,Jewelry,5060376
I00377,But Bi Thien Long - SKU8040,Office,90040
I00378,SSD Samsung 990 Pro - SKU6858,Computer Accessories,1094146
I00379,Xe Day Cho Be - SKU8723,Baby,3519476
I00380,Lego City - SKU5285,Toys,2787544
I00381,Tra Xanh Lipton - SKU5991,Beverage,23590
I00382,Ao Khoac Bomber - SKU8510,Fashion Men,233337
I00383,Router TP-Link AX3000 - SKU3701,Computer Accessories,6350473
I00384,Hat Dieu Rang Muoi - SKU4485,Food,351019
I00385,Rubik 3x3 - SKU9855,Toys,2876347
I00386,May Do Huyet Ap Omron - SKU6720,Health,4783920
I00387,Tay Cam PS5 - SKU5663,Gaming,809037
I00388,Tui Xach Zara - SKU3309,Fashion Women,4878210
I00389,Adidas Ultraboost 5 - SKU3554,Shoes,4724514
I00390,Ban Phim Gaming Corsair - SKU2217,Gaming,6681032
I00391,Mu Bao Hiem Fullface - SKU1824,Motorbike Accessories,2688028
I00392,Tay Cam PS5 - SKU4250,Gaming,9962752
I00393,New Balance 530 - SKU8273,Shoes,5145218
I00394,Xe Dieu Khien Tu Xa - SKU3653,Toys,3627387
I00395,Binh Nuoc Du Lich - SKU5682,Outdoor,9530164
I00396,Mat Na Innisfree - SKU1302,Beauty,2251441
I00397,Ao So Mi Nam Aristino - SKU7984,Fashion Men,258037
I00398,iPad Air M3 - SKU4644,Phones & Tablets,35570773
I00399,Samsung Galaxy Watch 7 - SKU8686,Electronics,13942853
I00400,Thuc An Cho Cho Pedigree - SKU8264,Pet Supplies,265756
I00401,Design Patterns - SKU5553,Books,62907
I00402,Lego City - SKU3565,Toys,3184695
I00403,May Lanh Daikin - SKU3396,Home Appliances,7619223
I00404,But Bi Thien Long - SKU6274,Office,5181303
I00405,Dam Cong So - SKU9897,Fashion Women,1999589
I00406,Tra Xanh Lipton - SKU3223,Beverage,31723
I00407,Tu Lanh Samsung - SKU4938,Home Appliances,1402906
I00408,OPPO Find X8 - SKU3796,Phones & Tablets,34315874
I00409,Design Patterns - SKU5802,Books,294056
I00410,Camera Hanh Trinh VietMap - SKU4518,Automotive,2477501
I00411,Quan Jean Levi's 511 - SKU9281,Fashion Men,179047
I00412,Nhan Bac 925 - SKU6175,Jewelry,42069606
I00413,Balo Du Lich NatureHike - SKU6840,Travel,9496209
I00414,Xe Day Cho Be - SKU7906,Baby,9022448
I00415,Noi Com Dien Toshiba - SKU9188,Kitchen,9247653
I00416,Python Cookbook - SKU2440,Books,451486
I00417,Am Sieu Toc Sunhouse - SKU2210,Kitchen,3504966
I00418,Xe Dap Giant Escape - SKU1190,Sports,39309261
I00419,May In HP LaserJet - SKU7033,Office,9908485
I00420,Mu Bao Hiem Fullface - SKU9150,Motorbike Accessories,267662
I00421,Ke Sach 5 Tang - SKU5142,Furniture,11801252
I00422,Binh Nuoc Du Lich - SKU9197,Outdoor,6660493
I00423,Ghe Cong Thai Hoc - SKU5558,Furniture,3791025
I00424,Tham Yoga Adidas - SKU5871,Sports,15410063
I00425,Nuoc Hoa Dior Sauvage - SKU6274,Beauty,1067964
I00426,LG OLED TV - SKU8461,Electronics,27718920
I00427,Gang Tay Xe May - SKU8777,Motorbike Accessories,1314546
I00428,Nuoc Ep Cam - SKU4541,Beverage,249544
I00429,Bom Lop O To Michelin - SKU3077,Automotive,7357346
I00430,Tay Cam PS5 - SKU4437,Gaming,8304271
I00431,Tui Xach Du Lich - SKU5161,Travel,2748517
I00432,Tui Xach Zara - SKU7129,Fashion Women,3722154
I00433,LG OLED TV - SKU6181,Electronics,29111887
I00434,Bom Lop O To Michelin - SKU8419,Automotive,9115049
I00435,May Chay Bo Kingsport - SKU4595,Sports,45744080
I00436,Nhan Bac 925 - SKU8906,Jewelry,41668767
I00437,Tui Xach Du Lich - SKU3757,Travel,7640696
I00438,Can Dien Tu Xiaomi - SKU2120,Health,3320848
I00439,Tra Xanh Lipton - SKU8177,Beverage,221489
I00440,iPad Air M3 - SKU4266,Phones & Tablets,7322284
I00441,Ao Khoac Bomber - SKU6728,Fashion Men,2414273
